Label,Network,id,reorder,colour,id_7n,network_7n,colour_7n
17Networks_LH_VisCent_ExStr_1,VisCent,1,1,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_2,VisCent,1,2,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_3,VisCent,1,3,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_4,VisCent,1,4,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_5,VisCent,1,5,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_6,VisCent,1,6,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_Striate_1,VisCent,1,7,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_7,VisCent,1,8,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_8,VisCent,1,9,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_9,VisCent,1,10,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_10,VisCent,1,11,#781286,1,Vis,#9C755FFF
17Networks_LH_VisCent_ExStr_11,VisCent,1,12,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_1,VisCent,1,201,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_2,VisCent,1,202,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_3,VisCent,1,203,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_4,VisCent,1,204,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_5,VisCent,1,205,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_6,VisCent,1,206,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_Striate_1,VisCent,1,207,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_7,VisCent,1,208,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_8,VisCent,1,209,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_9,VisCent,1,210,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_10,VisCent,1,211,#781286,1,Vis,#9C755FFF
17Networks_RH_VisCent_ExStr_11,VisCent,1,212,#781286,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrInf_1,VisPeri,2,13,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrInf_2,VisPeri,2,14,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrInf_3,VisPeri,2,15,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrInf_4,VisPeri,2,16,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrInf_5,VisPeri,2,17,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_StriCal_1,VisPeri,2,18,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_StriCal_2,VisPeri,2,19,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrSup_1,VisPeri,2,20,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrSup_2,VisPeri,2,21,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrSup_3,VisPeri,2,22,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrSup_4,VisPeri,2,23,#FF0000,1,Vis,#9C755FFF
17Networks_LH_VisPeri_ExStrSup_5,VisPeri,2,24,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrInf_1,VisPeri,2,213,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrInf_2,VisPeri,2,214,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrInf_3,VisPeri,2,215,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrInf_4,VisPeri,2,216,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrInf_5,VisPeri,2,217,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_StriCal_1,VisPeri,2,218,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_StriCal_2,VisPeri,2,219,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrSup_1,VisPeri,2,220,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrSup_2,VisPeri,2,221,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrSup_3,VisPeri,2,222,#FF0000,1,Vis,#9C755FFF
17Networks_RH_VisPeri_ExStrSup_4,VisPeri,2,223,#FF0000,1,Vis,#9C755FFF
17Networks_LH_SomMotA_1,SomMotA,3,25,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_2,SomMotA,3,26,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_3,SomMotA,3,27,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_4,SomMotA,3,28,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_5,SomMotA,3,29,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_6,SomMotA,3,30,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_7,SomMotA,3,31,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_8,SomMotA,3,32,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_9,SomMotA,3,33,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_10,SomMotA,3,34,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_11,SomMotA,3,35,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_12,SomMotA,3,36,#4682B4,2,SomMot,#F28E2BFF
17Networks_LH_SomMotA_13,SomMotA,3,37,#4682B4,2,SomMot,#F28E2BFF
